"","Open","High","Low","Close","Volume","Unadj.Close","Div","Split","Adj.Div"
"9362",83.1486947367492,83.9331163852091,79.7658763777659,80.7954297913695,12792992.1614256,103,NA,NA,NA
"9363",80.7954297913695,83.8350636791516,80.5993243792545,83.3448001488641,10678440.627494,106.25,NA,NA,NA
"9364",83.5409055609791,84.717538033669,81.6779041458869,84.717538033669,8074866.38396087,108,NA,NA,NA
"9365",84.4233799154965,85.5019596821289,82.3642730882893,82.5603785004042,9042585.72405097,105.25,NA,NA,NA
"9366",81.5798514398294,85.5019596821289,80.4032189671395,84.4724062685252,10034144.2838219,107.6875,NA,NA,NA
"9367",84.521432621554,86.2863813305888,84.2272745033815,85.2078015639564,10165068.7683789,108.625,NA,NA,NA
"9368",84.325327209439,84.9136434457839,83.2467474428067,83.9331163852091,7223028.59836187,107,NA,NA,NA
"9369",85.5019596821289,86.1393022715025,84.6194853276115,85.5019596821289,8442525.79336936,109,NA,NA,NA
"9370",84.9136434457839,87.6100928623648,84.4724062685252,86.2863813305888,11291503.7689106,110,NA,NA,NA
"9371",86.2863813305888,88.9338043941409,86.23735497756,88.4435408638535,8367311.14303961,112.75,NA,NA,NA
"9372",88.4925672168822,89.9633578077445,87.8061982744798,89.0318571001984,8632602.13852472,113.5,NA,NA,NA
"9373",89.8162787486583,90.5026476910607,89.3260152183709,89.6201733365433,7824618.31854171,114.25,NA,NA,NA
"9374",90.8948585152907,90.8948585152907,87.5610665093361,90.4045949850032,8276671.11526934,115.25,NA,NA,NA
"9375",90.5026476910607,95.8955465242225,90.257515925917,94.6208613454752,15458012.9498044,120.625,NA,NA,NA
"9376",98.0527060574872,100.602076414982,97.7585479393148,99.5234966483495,15123116.5321497,126.875,NA,NA,NA
"9377",98.6410222938322,99.621549354407,95.7484674651363,96.0916519363375,10389310.4123281,122.5,NA,NA,NA
"9378",95.9445728772512,96.0426255833087,92.9539653424979,93.3461761667278,9321899.78993654,119,NA,NA,NA
"9379",93.2481234606704,96.4838627605674,93.1010444015841,96.2877573484525,11674843.520676,122.75,NA,NA,NA
"9380",96.189704642395,97.0721789969124,91.8263592228368,92.8559126364404,10217973.9885261,118.375,NA,NA,NA
"9381",94.1305978151877,95.99359923028,93.689360637929,95.6994411121075,9836036.54380077,122,NA,NA,NA
"9382",95.3072302878776,99.5725230013783,90.257515925917,95.0620985227339,21247756.2707808,121.1875,NA,NA,NA
"9383",94.5228086394177,98.6410222938322,93.9344924030728,98.0527060574872,11082687.5024019,125,NA,NA,NA
"9384",96.8760735847974,100.405971002867,96.189704642395,96.2877573484525,11329875.9888246,122.75,NA,NA,NA
"9385",96.8760735847974,98.5919959408034,95.3072302878776,96.5819154666249,6858938.69778258,123.125,NA,NA,NA
"9386",97.8566006453723,98.3468641756597,95.3562566409063,95.797493818165,7020841.41967883,122.125,NA,NA,NA
"9387",95.4052829939351,95.4052829939351,92.4146754591817,93.6403342849003,9865484.99164175,119.375,NA,NA,NA
"9388",93.8364396970153,93.8364396970153,87.6100928623648,89.2279625123134,11327071.3747445,113.75,NA,NA,NA
