"","PerChgPriRel","rsi","macd","ema.20","sma.20","sma.50","dema.20"
"1963-02-27",1,42.1830999773202,-0.172616987737173,1.67762600770777,1.69197725828819,NA,1.67188728340325
"1963-02-28",1,35.8869047942564,-0.39062191695628,1.67260570578812,1.68798353403748,NA,1.66287134872817
"1963-03-01",1,33.4435305338776,-0.606681833908551,1.6670958108825,1.68261813493767,NA,1.65330339243745
"1963-03-04",0,43.7543872350639,-0.64757434757049,1.66453011303965,1.67852294455053,NA,1.64972991258871
"1963-03-05",1,41.801842138598,-0.706735027899441,1.66153138751496,1.67478335505022,NA,1.64542759734652
"1963-03-06",0,46.4014513298184,-0.683926661938261,1.66002783888979,1.67150609665111,NA,1.64409738950509
"1963-03-07",0,51.5191982820019,-0.582246703937994,1.66016768366734,1.66957524958553,NA,1.64588094616563
"1963-03-08",1,51.1800504822405,-0.500839733653324,1.66019753215229,1.66744121971671,NA,1.64729844208951
"1963-03-11",1,50.8186469197469,-0.436255129898855,1.66012755590101,1.66505308416569,NA,1.64839363875972
"1963-03-12",1,50.4363023717379,-0.385569187680845,1.65996756631226,1.66307148128537,NA,1.64920641260413
"1963-03-13",1,51.6136798584802,-0.326777890591523,1.66011315133529,1.6610898786083,1.67093947438141,1.65050858919163
"1963-03-14",0,53.5928080733001,-0.252535965803102,1.66072888194126,1.6595655715301,1.67299965396826,1.65259612959764
"1963-03-15",0,58.3603265909068,-0.128041652327071,1.66254403957297,1.65865098724254,1.67436900036028,1.6568281205479
"1963-03-18",1,51.753234702774,-0.102302400738707,1.66273459724771,1.65677105573923,1.67539288613663,1.6577354607879
"1963-03-19",1,52.5253694880014,-0.0712140824156826,1.66310066633822,1.65517053161006,1.67672157204245,1.65890884348027
"1963-03-20",1,58.2751317678137,0.0318756925970165,1.66498027724973,1.65506886043629,1.67758297010076,1.66288827596486
"1963-03-21",1,53.4789246169487,0.0586555756168838,1.66561617820942,1.65511961625103,1.67820048386174,1.66429875410569
"1963-03-22",1,57.5802031753136,0.137271162213382,1.66735290785354,1.65593253647827,1.67883835586431,1.66773227953294
"1963-03-25",1,56.245192650485,0.182634637157464,1.66863388361691,1.65786322379632,1.6793136389236,1.6701361027318
"1963-03-26",0,59.9152960119768,0.269340923811345,1.67085756069023,1.6597940708619,1.67948424553462,1.67422860962242
"1963-03-27",0,65.3247238227541,0.425811611096538,1.67470820204667,1.66299511932347,1.67998003186312,1.68124211230781
"1963-03-28",1,64.8293484135765,0.538204206260318,1.67809543791252,1.6672631863778,1.68098377617837,1.68707171297978
"1963-03-29",1,65.1142465785268,0.624527055882163,1.68125675762874,1.67209006066049,1.68158111668894,1.69223839100427
"1963-04-01",1,65.1142465785268,0.684706953677217,1.68411699927674,1.6756467262305,1.68228007534669,1.69664060048852
"1963-04-02",1,57.5393784467175,0.656774089611689,1.68535009118009,1.67884777469207,1.68257262173687,1.69779662304616
"1963-04-03",1,63.7101000074082,0.71827492503207,1.68830450236073,1.68237913877338,1.68319034776394,1.70223868892679
"1963-04-04",1,70.2123914251663,0.884294070662484,1.69354214761363,1.68646931719648,1.68438730006755,1.71088809068792
"1963-04-05",0,78.4505872575886,1.25182891779476,1.70336200326514,1.69327779415625,1.68650899534096,1.72794058306469
"1963-04-08",0,81.629356026035,1.66498830064814,1.71519856066602,1.70168694787927,1.68904742276552,1.74814558956164
"1963-04-09",0,74.1032986837398,1.87440550609617,1.72402058624103,1.70915605607849,1.69070186711936,1.76181163552398
"1963-04-10",0,70.6838575860218,1.97072573517274,1.73108290917415,1.71598999447773,1.69238674530526,1.77166453165537
"1963-04-11",1,72.8824515573726,2.09365527424874,1.73897282821874,1.72335743129995,1.6945695400368,1.78282803245636
"1963-04-15",1,72.505080001971,2.1596823506383,1.74601464865957,1.73001362658862,1.69638658306824,1.79206433765437
"1963-04-16",1,67.5988473070481,2.12599687353847,1.75112746076719,1.7367713406202,1.69793937075852,1.79741734271699
"1963-04-17",1,64.3527752682851,2.0336631879579,1.75488231270181,1.74297009478933,1.6995937331794,1.80016088145438
"1963-04-18",1,64.3527752682851,1.93786114583034,1.75827955969027,1.74835593604791,1.70117901540236,1.80231958345597
"1963-04-19",1,71.139345788583,2.01331440130879,1.7650310493444,1.75623158423452,1.70376015641622,1.81098527577187
"1963-04-22",1,74.9269452564318,2.17467477296549,1.77384932227182,1.764920138015,1.70684938091515,1.82340539311672
"1963-04-23",1,76.8008459092151,2.34577641632985,1.78337645595787,1.77457419164532,1.71018255558397,1.83683268862872
"1963-04-24",1,77.4804567617815,2.47715351563476,1.79257693175704,1.78397413959344,1.71382059016445,1.84926633465849
"1963-04-25",1,78.443770822308,2.58710770398942,1.80172372734549,1.79284058911859,1.71757039062125,1.86128981169349
"1963-04-26",0,80.6937429241315,2.73618707032068,1.81208029995512,1.80285026717402,1.72183845613094,1.87534365625013
"1963-04-29",0,78.2395018898883,2.79250121111299,1.82086983020122,1.81250432080433,1.72596426902522,1.88606053707175
"1963-04-30",0,70.8865430759773,2.71979420099389,1.82698322854504,1.82119288169826,1.72962260877696,1.8914964665961
"1963-05-01",1,71.641898073704,2.6527902632925,1.83299839574898,1.83084678269448,1.73345368235507,1.89680981002732
"1963-05-02",1,73.8347494146555,2.63440949897273,1.83989241768743,1.84029749357078,1.73786399478943,1.90386400283596
"1963-05-03",1,68.8650030969908,2.5325027008382,1.84487179807211,1.8477413002813,1.74229467060333,1.90725600498311
"1963-05-06",1,59.2785986452498,2.29765057606253,1.84657020099155,1.85104402011989,1.74619690247929,1.90454970512386
